"Key","English, en-US","French, fr","Hindi (India), hi_IN","Romanian (Romania), ro_RO","Japanese, ja","Korean, ko","Russian (Russia), ru_RU","Spanish, es","Chinese, zh","Arabic, ar","Portuguese, pt","Italian (Italy), it_IT"
"hideLabel","Hide Label","Masquer l'étiquette","छिपाएं लेबल","Ascunde eticheta","ラベルを非表示にします","레이블을 숨 깁니다","Скрыть этикетку","Ocultar etiqueta","隐藏标签","إخفاء التسمية","Ocultar rótulo","Nascondi l'etichetta"
"required","Required","Requis","आवश्यक","Necesar","必須","필수의","Необходимый","Requerido","必需的","مطلوب","Obrigatório","Necessario"
"removeField","Remove Field","Supprimer le champ","निकालें फ़ील्ड","Scoateți câmpul","フィールドを削除します","필드를 제거하십시오","Удалить поле","Eliminar el campo","删除字段","إزالة الحقل","Remova o campo","Rimuovere il campo"
"requestToDeleteYourAccount","We are now processing your request to delete your account. This request was made on {date}. For your security, we verify all requests before deleting any account. This process may take up to seven days. Your account will remain active while verification is in progress.","Nous traitons maintenant votre demande pour supprimer votre compte. Cette demande a été faite à {date}. Pour votre sécurité, nous vérifions toutes les demandes avant de supprimer un compte. Ce processus peut prendre jusqu'à sept jours. Votre compte restera actif pendant la vérification en cours.","अब हम आपके खाते को हटाने के लिए आपके अनुरोध को संसाधित कर रहे हैं। यह अनुरोध {date} पर किया गया था। आपकी सुरक्षा के लिए, हम किसी भी खाते को हटाने से पहले सभी अनुरोधों को सत्यापित करते हैं। इस प्रक्रिया में सात दिन लग सकते हैं। सत्यापन जारी होने पर आपका खाता सक्रिय रहेगा।","Acum procesăm cererea dvs. de a vă șterge contul. Această solicitare a fost făcută la {date}. Pentru securitatea dvs., verificăm toate solicitările înainte de a șterge orice cont. Acest proces poate dura până la șapte zile. Contul dvs. va rămâne activ în timp ce verificarea este în curs.","これで、アカウントを削除するリクエストを処理しています。このリクエストは{date}で行われました。お客様のセキュリティのために、アカウントを削除する前にすべてのリクエストを確認します。このプロセスには最大7日かかる場合があります。検証が進行中の間、アカウントはアクティブのままになります。","우리는 이제 귀하의 계정 삭제 요청을 처리하고 있습니다. 이 요청은 {date}에 이루어졌습니다. 귀하의 보안에 대해서는 계정을 삭제하기 전에 모든 요청을 확인합니다. 이 과정에는 최대 7 일이 걸릴 수 있습니다. 검증이 진행되는 동안 계정은 활성화됩니다.","Сейчас мы обрабатываем ваш запрос на удаление вашей учетной записи. Этот запрос был сделан на {date}. Для вашей безопасности мы проверяем все запросы, прежде чем удалять любую учетную запись. Этот процесс может занять до семи дней. Ваша учетная запись останется активной, пока проверена.","Ahora estamos procesando su solicitud para eliminar su cuenta. Esta solicitud se realizó en {date}. Para su seguridad, verificamos todas las solicitudes antes de eliminar cualquier cuenta. Este proceso puede demorar hasta siete días. Su cuenta permanecerá activa mientras la verificación está en progreso.","我们现在正在处理您的请求以删除您的帐户。此请求是在{date}上提出的。为您的安全性，我们在删除任何帐户之前先验证所有请求。这个过程可能需要长达7天。验证进行验证时，您的帐户将保持活跃。","نقوم الآن بمعالجة طلبك لحذف حسابك. تم تقديم هذا الطلب على {date}. من أجل أمانك ، نتحقق من جميع الطلبات قبل حذف أي حساب. قد تستغرق هذه العملية ما يصل إلى سبعة أيام. سيبقى حسابك نشطًا أثناء التحقق من التقدم.","Agora estamos processando sua solicitação para excluir sua conta. Esta solicitação foi feita em {date}. Para sua segurança, verificamos todas as solicitações antes de excluir qualquer conta. Esse processo pode levar até sete dias. Sua conta permanecerá ativa enquanto a verificação estiver em andamento.","Ora stiamo elaborando la tua richiesta di eliminare il tuo account. Questa richiesta è stata presentata su {date}. Per la tua sicurezza, verifichiamo tutte le richieste prima di eliminare qualsiasi account. Questo processo potrebbe richiedere fino a sette giorni. Il tuo account rimarrà attivo mentre la verifica è in corso."
"deletingYourAccountWillRemoveAllOfYourInformationFromOurDatabaseThisCannotBeUndone","Deleting your account will remove all of your information from our database. This cannot be undone.","La suppression de votre compte supprimera toutes vos informations de notre base de données. Ça ne peut pas être annulé.","अपने खाते को हटाने से आपकी सभी जानकारी हमारे डेटाबेस से हटा दी जाएगी। इसे असंपादित नहीं किया जा सकता है।","Ștergerea contului dvs. va elimina toate informațiile dvs. din baza noastră de date. Acest lucru nu poate fi anulat.","アカウントを削除すると、データベースからすべての情報が削除されます。これは、元に戻すことはできません。","계정을 삭제하면 데이터베이스에서 모든 정보를 제거합니다. 이 취소 할 수 없습니다.","Удаление вашей учетной записи удалит всю вашу информацию из нашей базы данных. Это не может быть отменено.","Eliminar su cuenta eliminará toda su información de nuestra base de datos. Esto no se puede deshacer.","删除您的帐户将从我们的数据库中删除您的所有信息。这不能被撤消。","سيؤدي حذف حسابك إلى إزالة جميع معلوماتك من قاعدة البيانات الخاصة بنا. هذا لا يمكن التراجع عنها.","A exclusão de sua conta removerá todas as suas informações do nosso banco de dados. Isto não pode ser desfeito.","L'eliminazione del tuo account rimuoverà tutte le informazioni dal nostro database. Questo non può essere annullato."
"weReSorryToSeeYouGo","We’re sorry to see you go","Nous sommes désolés de te voir partir","हमें खेद है कि आप जा रहे हैं","Ne pare rău că trebuie să pleci","あなたが行くのを見てすみません","배웅 못 해줘서 미안해","Нам жаль, что вы уходите","Sentimos verte partir","我们很遗憾看到你去","نحن آسفون أن نراك تذهب","Lamentamos ver você ir","Ci dispiace vederti andare"
"deleteAccount","Delete account?","Supprimer le compte?","खाता हटा दो?","Șterge cont?","アカウントを削除する？","계정 삭제?","Удалить аккаунт?","¿Borrar cuenta?","删除帐户？","حذف الحساب؟","Deletar conta?","Eliminare l'account?"
"addQuestionnaire","Add questionnaire","Add questionnaire","प्रश्नावली जोड़ें","Adăugați chestionar","アンケートを追加します","설문지를 추가하십시오","Добавить анкету","Agregar cuestionario","添加问卷","إضافة استبيان","Adicionar questionário","Aggiungi questionario"
"singleLineText","Single Line Text","Texte à une seule ligne","एकल पंक्ति पाठ","Text cu o singură linie","シングルラインテキスト","한 줄 텍스트","Одиночный текст","Texto de una sola línea","单行文本","نص خط واحد","Texto de linha única","Testo a riga singola"
"dropdown","Dropdown","Dérouler","ड्रॉप डाउन","Scapă jos","落ちる","쓰러지 다","Падать","Desplegable","落下","اسقاط","Suspenso","Cadere in picchiata"
"paragraphText","Paragraph Text","Texte du paragraphe","पैरा पाठ","Text de paragraf","段落テキスト","단락 텍스트","Текст абзаца","Texto de párrafo","段落文字","نص الفقرة","Texto do parágrafo","Testo di paragrafo"
"checkboxes","Checkboxes","Cocher les cases","चेक बॉक्स","Casete de selectare","チェックボックス","확인란","Флакторы","Casillas","复选框","مربعات الاختيار","Caixas de seleção","Caselle di controllo"
"multipleChoice","Multiple Choice","Choix multiple","बहुविकल्पी","Alegere multiplă","複数の選択肢","다중 선택","Большой выбор","Opción multiple","多项选择","متعدد الخيارات","Múltipla escolha","Scelta multipla"
"email","Email","E-mail","ईमेल","E-mail","Eメール","이메일","Электронная почта","Correo electrónico","电子邮件","بريد إلكتروني","E-mail","E-mail"
"fileUpload","File Upload","Téléchargement de fichiers","फाइल अपलोड","Fișier încărcat","ファイルアップロード","파일 업로드","Файл загружен","Subir archivo","上传文件","تحميل الملف","Upload de arquivo","Upload di file"
"number","Number","Nombre","संख्या","Număr","番号","숫자","Число","Número","数字","رقم","Número","Numero"
"websiteUrl","Website / URL","URL de site web","वेबसाइट यूआरएल","Website URL","ウェブサイトのURL","웹 사이트 주소","URL веб-сайта","URL del sitio web","网址","رابط الموقع","Site / URL","URL del sito"
"heading","Heading","Titre","शीर्षक","Îndreptându -se","見出し","표제","Заголовок","Título","标题","عنوان","Cabeçalho","Intestazione"
"address","Address","Adresse","पता","Abordare","住所","주소","Адрес","DIRECCIÓN","地址","عنوان","Endereço","Indirizzo"
"effortlesslyManageYourQuestionnairesInTheSettingsSectionForATailoredAndSeamlessExperience","Effortlessly manage your questionnaires in the Settings section for a tailored and seamless experience.","Gérez sans effort vos questionnaires dans la section Paramètres pour une expérience sur mesure et sans couture.","अनायास और सहज अनुभव के लिए सेटिंग्स अनुभाग में अपने प्रश्नावली का प्रबंधन करें।","Gestionați -vă fără efort chestionarele în secțiunea Setări pentru o experiență personalizată și perfectă.","テーラードでシームレスな体験を得るために、設定セクションでアンケートを簡単に管理します。","맞춤형 및 원활한 경험을 위해 설정 섹션에서 설문지를 쉽게 관리하십시오.","Легко управлять своими анкет в разделе «Настройки» для индивидуального и беспрепятственного опыта.","Administre sin esfuerzo sus cuestionarios en la sección Configuración para una experiencia personalizada y perfecta.","在设置部分中毫不费力地管理您的问卷，以获得量身定制和无缝的体验。","إدارة الاستبيانات الخاصة بك دون عناء في قسم الإعدادات لتجربة مصممة وسلسة.","Gerencie sem esforço seus questionários na seção de configurações para uma experiência personalizada e perfeita.","Gestisci senza sforzo i tuoi questionari nella sezione Impostazioni per un'esperienza su misura e senza soluzione di continuità."
"decline","Decline","Déclin","गिरावट","Declin","衰退","감소","Отклонить","Rechazar","衰退","انخفاض","Declínio","Declino"
"accept","Accept","Accepter","स्वीकार करना","Accept","受け入れる","수용하다","Принимать","Aceptar","接受","يقبل","Aceitar","Accettare"
"privacyPolicy","Privacy Policy","politique de confidentialité","गोपनीयता नीति","Politica de confidențialitate","プライバシーポリシー","개인 정보 정책","политика конфиденциальности","Política de privacidad","隐私政策","سياسة الخصوصية","Política de Privacidade","Politica sulla riservatezza"
"termsAndConditions","Terms and Conditions","Termes et conditions","नियम और शर्तें","Termeni și condiții","利用規約","이용 약관","Условия и положения","Términos y condiciones","条款和条件","الأحكام والشروط","Termos e Condições","Termini e Condizioni"
"subscriptionId","Subscription ID","ID d'abonnement","अंशदान पहचानपत्र","ID de abonament","サブスクリプションID","구독 ID","Идентификатор подписки","ID de suscripción","订阅ID","معرف الإشتراك","ID de Inscrição","ID abbonamento"
"totalSpend","Total Spend","Dépenses totales","कुल खर्च","Cheltuieli totale","合計支出","총 지출","Всего расходов","Gasto total","总支出","إجمالي الإنفاق","Gasto total","Spendenza totale"
"editMember","Edit Member","Éditer","संपादित सदस्य","Membru de editare","メンバーを編集します","멤버 편집","Редактировать участник","Editar miembro","编辑成员","عضو تحرير","Membro de edição","Modifica membro"
"managingPaymentMethodsInvolvesOfferingDiverseOptionsForCustomersToSecurelyCompletePurchases","Managing payment methods involves offering diverse options for customers to securely complete purchases","La gestion des méthodes de paiement implique d'offrir des options diverses aux clients pour effectuer des achats en toute sécurité","भुगतान विधियों के प्रबंधन में ग्राहकों के लिए सुरक्षित रूप से खरीदारी करने के लिए विविध विकल्पों की पेशकश करना शामिल है","Gestionarea metodelor de plată implică oferirea de opțiuni diverse pentru clienți pentru a finaliza în siguranță achiziții","支払い方法の管理には、顧客が購入をしっかりと完了するための多様なオプションを提供することが含まれます","지불 방법 관리에는 고객이 안전하게 구매할 수 있도록 다양한 옵션을 제공합니다.","Управление методами оплаты включает в себя предложение для клиентов разнообразные варианты для надежного завершения покупок","La gestión de métodos de pago implica ofrecer diversas opciones para que los clientes completen las compras de forma segura","管理付款方式涉及为客户提供各种选择以安全完成购买","تتضمن إدارة طرق الدفع تقديم خيارات متنوعة للعملاء لإكمال عمليات الشراء بشكل آمن","O gerenciamento de métodos de pagamento envolve a oferta de diversas opções para os clientes completarem as compras com segurança","La gestione dei metodi di pagamento prevede l'offerta di diverse opzioni per i clienti per completare in modo sicuro gli acquisti"
"updateLocation","Update location","Mettre à jour l'emplacement","अद्यतन स्थान","Actualizați locația","場所を更新します","업데이트 위치","Обновление местоположения","Ubicación de actualización","更新位置","تحديث الموقع","Atualizar localização","Aggiorna posizione"
"addLocation","Add location","Ajouter un emplacement","स्थान जोड़ना","Adaugă locație","場所を追加します","위치를 추가하십시오","Добавить местоположение","Agregar Direccion","添加位置","أضف الموقع","Adicionar local","Aggiungi luogo"
"manageThePlacesYouStockInventoryFulfillOrdersAndSellProducts","Manage the places you stock inventory, fulfill orders, and sell products.","Gérez les endroits où vous stockez l'inventaire, exécutez les commandes et vendez des produits.","उन स्थानों को प्रबंधित करें जिन्हें आप इन्वेंट्री स्टॉक करते हैं, आदेशों को पूरा करते हैं, और उत्पाद बेचते हैं।","Gestionați locurile pe care le faceți stocuri de stocuri, îndepliniți comenzi și vindeți produse.","在庫を在庫し、注文を満たし、製品を販売する場所を管理します。","재고 재고 장소를 관리하고 주문을 이행하며 제품을 판매하십시오.","Управляйте местами, которые вы набираете запасы, выполняете заказы и продавайте продукты.","Administre los lugares donde se inventario de valores, cumpla los pedidos y venda productos.","管理您库存库存的地方，履行订单和销售产品。","إدارة الأماكن التي تقوم بها مخزون ، وتلبية الطلبات ، وبيع المنتجات.","Gerencie os lugares em que você estoca inventário, atende pedidos e vende produtos.","Gestisci i luoghi inventati, esegui gli ordini e vendi prodotti."
"removeFromInstructor","Remove from Instructor","Retirer de l'instructeur","प्रशिक्षक से निकालें","Scoateți din instructor","インストラクターから取り外します","강사에서 제거하십시오","Удалить с инструктора","Retirar del instructor","从讲师中删除","ترفع من المدرب","Retire do instrutor","Togliere dall'istruttore"
"markAsInstructor","Mark as Instructor","Marquez comme instructeur","प्रशिक्षक के रूप में चिह्नित करें","Mark ca instructor","インストラクターとしてマーク","강사로 표시하십시오","Марк в качестве инструктора","Marca como instructor","标记为讲师","مارك كمدرب","Marca como instrutor","Mark come istruttore"
"mailConfiguration","Mail Configuration","Configuration du courrier","डाक विन्यास","Configurare prin e -mail","メール構成","메일 구성","Настройка почты","Configuración de correo","邮件配置","تكوين البريد","Configuração de correio","Configurazione della posta"
"billingInformation","Billing Information","Informations de facturation","बिलिंग जानकारी","Informații de facturare","請求情報","청구 정보","Платежная информация","Información de facturación","账单信息","معلومات الفواتير","Informações de pagamento","Informazioni di fatturazione"
"trialDays","Trial days","Jours d'essai","परीक्षण के दिन","Zile de încercare","試用日","시험 일","Пробные дни","Días de prueba","试用日","أيام المحاكمة","Dias de teste","Giorni di prova"
"downloadSampleCsv","Download sample CSV","Télécharger un exemple de CSV","नमूना सीएसवी डाउनलोड करें","Descărcați eșantionul CSV","サンプルCSVをダウンロードします","샘플 CSV를 다운로드하십시오","Скачать образец CSV","Descargar CSV de muestra","下载样本CSV","تنزيل عينة CSV","Download de amostra CSV","Scarica il campione CSV"
"uploadAndPreview","Upload and preview","Télécharger et prévisualiser","अपलोड और पूर्वावलोकन करें","Încărcare și previzualizare","アップロードとプレビュー","업로드 및 미리보기","Загрузить и предварительный просмотр","Carga y vista previa","上传和预览","تحميل ومعاينة","Carregue e visualize","Carica e anteprima"
"importByCsv","Import by CSV","Importation par CSV","CSV द्वारा आयात","Import de CSV","CSVによるインポート","CSV에 의해 수입","Импорт CSV","Importar por CSV","由CSV导入","الاستيراد بواسطة CSV","Importação por CSV","Importazione da CSV"
"preview","Preview","Aperçu","पूर्व दर्शन","previzualizare","プレビュー","시사","Предварительный просмотр","Avance","预览","معاينة","Visualização","Anteprima"
"menus.pages","Pages","Pages","पृष्ठों","Pagini","ページ","페이지","Страницы","Páginas","页面","الصفحات","Páginas","Pagine"
"label.pages","Pages","Pages","पृष्ठों","Pagini","ページ","페이지","Страницы","Páginas","页面","الصفحات","Páginas","Pagine"
"singular.page","page","page","पृष्ठ","pagină","ページ","페이지","страница","página","页","صفحة","página","pagina"
"plural.pages","pages","pages","पृष्ठों","pagini","ページ","페이지","страницы","páginas","页面","الصفحات","Páginas","pagine"
"label.addPage","Add page","Ajouter une page","पृष्ठ जोड़ें","Adauga pagina","ページを追加します","페이지 추가","Добавить страницу","Añadir página","添加页面","إضافة صفحة","Adicionar Página","Aggiungi pagina"
"menus.frontend","Frontend","L'extrémité avant","फ़्रंट एंड","În față","フロントエンド","프론트 엔드","Внешний интерфейс","Interfaz","前端","نهاية المقدمة","Front-end","Fine frontale"
"menus.blogPosts","Blog posts","Articles de blog","वेबदैनिकी डाक","Postări pe blog","ブログ投稿","블로그 게시물","Сообщения в блоге","Publicaciones de blog","博客文章","منشورات المدونة","Postagens no blog","I post del blog"
"type","Type","Taper","प्रकार","Tip","タイプ","유형","Тип","Tipo","类型","يكتب","Tipo","Tipo"
"selectAPage","Select a page","Sélectionnez une page","एक पृष्ठ का चयन करें","Selectați o pagină","ページを選択します","페이지를 선택하십시오","Выберите страницу","Seleccione una página","选择一个页面","حدد صفحة","Selecione uma página","Seleziona una pagina"
"url","URL","URL","यूआरएल","URL","URL","URL","URL","Url","URL","عنوان URL","Url","URL"
"navigationLabel","Navigation Label","Étiquette de navigation","नेविगेशन लेबल","Etichetă de navigație","ナビゲーションラベル","내비게이션 레이블","Навигационный ярлык","Etiqueta de navegación","导航标签","ملصق الملاحة","Etiqueta de navegação","Etichetta di navigazione"
"selectAEdit","Select a menu to edit.","Sélectionnez un menu à modifier.","संपादित करने के लिए एक मेनू चुनें।","Selectați un meniu pentru a edita.","編集するメニューを選択します。","편집 할 메뉴를 선택하십시오.","Выберите меню, чтобы редактировать.","Seleccione un menú para editar.","选择要编辑的菜单。","حدد قائمة لتحريرها.","Selecione um menu para editar.","Seleziona un menu da modificare."
"label.menus","Menus","Menus","मेनू","Meniuri","メニュー","메뉴","Меню","Menús","菜单","قوائم","Menus","Menu"
"addMenu","Add Menu","Ajouter le menu","मेनू जोड़ें","Adăugați meniu","メニューを追加します","메뉴 추가","Добавить меню","Agregar menú","添加菜单","أضف القائمة","Adicionar menu","Aggiungi menu"
"menuStructure","Menu structure","Structure de menu","मेनू संरचना","Structura meniului","メニュー構造","메뉴 구조","Структура меню","Estructura de menú","菜单结构","بنية القائمة","Estrutura do menu","Struttura dei menu"
"addItem","Add Item","Ajouter un item","मद जोड़ें","Adaugare element","アイテムを追加します","아이템 추가","Добавить элемент","Añadir artículo","新增项目","اضافة عنصر","Adicionar Item","Aggiungi articolo"
"saveMenu","Save Menu","Enregistrer le menu","मेनू सहेजें","Salvați meniul","メニューを保存します","메뉴 저장","Сохранить меню","Menú Guardar","保存菜单","حفظ القائمة","Salvar menu","Salva menu"
"restorationIsnTRemoval","Restoration isn't possible. Are you certain you want to proceed with removal?","La restauration n'est pas possible. Êtes-vous certain que vous souhaitez procéder avec le retrait?","बहाली संभव नहीं है। क्या आप निश्चित हैं कि आप हटाने के साथ आगे बढ़ना चाहते हैं?","Restaurarea nu este posibilă. Sunteți sigur că doriți să continuați cu îndepărtarea?","復元は不可能です。削除を進めたいと思いますか？","복원은 불가능합니다. 제거로 진행하고 싶습니까?","Восстановление невозможно. Вы уверены, что хотите продолжить снятие?","La restauración no es posible. ¿Estás seguro de que quieres continuar con la eliminación?","无法修复。您确定要继续去除吗？","الاستعادة غير ممكنة. هل أنت متأكد من أنك تريد المتابعة مع الإزالة؟","Restauração não é possível. Você tem certeza de que deseja prosseguir com a remoção?","Il restauro non è possibile. Sei sicuro di voler procedere con la rimozione?"
"socials","Socials","Sociale","सामाजिक","Social","社交","사회의","Социальное","Social","社会的","اجتماعي","Social","Sociale"
"theme","Theme","Thème","विषय","Temă","テーマ","주제","Тема","Tema","主题","سمة","Tema","Tema"
"pushWhatsappAlert","Push/Whatsapp Alert","Alerte push / whatsapp","पुश/व्हाट्सएप अलर्ट","Push/WhatsApp Alert","Push/WhatsAppアラート","푸시/whatsapp 알림","Push/WhatsApp предупреждение","ALERTA DE PUSH/WATSAPP","推送/whatsapp警报","Push/WhatsApp Alert","Push/whatsapp alerta","Avviso push/whatsapp"
"template","Template","Modèle","खाका","Șablon","テンプレート","주형","Шаблон","Plantilla","模板","نموذج","Modelo","Modello"
"home","Home","Maison","घर","Acasă","家","집","Дом","Hogar","家","بيت","Lar","Casa"
"singleBlogPage","Single Blog Page","Page de blog unique","एकल ब्लॉग पृष्ठ","Pagina unică de blog","単一のブログページ","단일 블로그 페이지","Одиночный блог страницы","Página de blog individual","单博博客页面","صفحة مدونة واحدة","Página de blog único","Pagina del blog singolo"
"youCanThumbnail","You can only choose images as blog thumbnail","Vous ne pouvez choisir que des images comme miniature du blog","आप केवल ब्लॉग थंबनेल के रूप में छवियों को चुन सकते हैं","Puteți alege imaginile doar ca miniatură pe blog","ブログのサムネイルとしてのみ画像を選択できます","블로그 썸네일로 이미지를 선택할 수 있습니다","Вы можете выбрать только изображения в качестве миниатюры блога","Solo puedes elegir imágenes como miniatura de blog","您只能选择图像作为博客缩略图","يمكنك فقط اختيار الصور كـ Thumbnail المدونة","Você só pode escolher imagens como miniatura do blog","Puoi scegliere solo le immagini come miniatura del blog"
"withActivityBlog","With activity, you can view detailed histories and add comments for blog.","Avec l'activité, vous pouvez afficher des histoires détaillées et ajouter des commentaires pour le blog.","गतिविधि के साथ, आप विस्तृत इतिहास देख सकते हैं और ब्लॉग के लिए टिप्पणियां जोड़ सकते हैं।","Cu activitate, puteți vizualiza istorii detaliate și puteți adăuga comentarii pentru blog.","アクティビティを使用すると、詳細な履歴を表示してブログにコメントを追加できます。","활동을 통해 자세한 역사를보고 블로그에 대한 의견을 추가 할 수 있습니다.","С помощью активности вы можете просмотреть подробные истории и добавить комментарии к блогу.","Con la actividad, puede ver historias detalladas y agregar comentarios para el blog.","通过活动，您可以查看详细的历史记录并为博客添加评论。","مع النشاط ، يمكنك عرض تاريخ مفصل وإضافة تعليقات للمدونة.","Com a atividade, você pode visualizar histórias detalhadas e adicionar comentários para o blog.","Con l'attività, puoi visualizzare storie dettagliate e aggiungere commenti per il blog."
"termsAndConditions","Terms and Conditions","Termes et conditions","नियम और शर्तें","Termeni și condiții","利用規約","이용 약관","Условия и положения","Términos y condiciones","条款和条件","الأحكام والشروط","Termos e Condições","Termini e Condizioni"
"privacyPolicy","Privacy Policy","politique de confidentialité","गोपनीयता नीति","Politica de confidențialitate","プライバシーポリシー","개인 정보 정책","политика конфиденциальности","política de privacidad","隐私政策","سياسة الخصوصية","política de Privacidade","politica sulla riservatezza"
"companyTerms","Company Terms","Conditions de l'entreprise","कंपनी की शर्तें","Condiții companiei","会社の用語","회사 용어","Условия компании","Términos de la compañía","公司条款","شروط الشركة","Termos da empresa","Termini dell'azienda"
"useAs","Use as","Utilisé comme","के रूप में उपयोग","Foloșește ca","使用","로 사용","Использовать как","Usar como","用于","كما تستخدم","Use como","Usare come"
"checkInHistory","Check-in History","Historique d'enregistrement","चेक-इन इतिहास","Istoric de check-in","チェックイン履歴","체크인 기록","История регистрации","Historial de check-in","登机记录","تاريخ تسجيل الوصول","Histórico de check-in","Cronologia del check-in"
"checkIn","Check-in","Enregistrement","चेक इन","Check-in","チェックイン","체크인","Регистрироваться","Registrarse","报到","تحقق في","Check-in","Registrare"
"accessDenied","Access denied","Accès refusé","पहुंच अस्वीकृत","Acces interzis","アクセスが拒否されました","접근 불가","Доступ запрещен","Acceso denegado","拒绝访问","تم الرفض","Acesso negado","Accesso negato"
"hint.hereYouActivity","Here you can see a record of your recent check-ins and access attempts. This log helps you keep track of your activity.","Ici, vous pouvez voir un enregistrement de vos récentes vérifications et tentatives d'accès. Ce journal vous aide à suivre votre activité.","यहां आप अपने हाल के चेक-इन और एक्सेस प्रयासों का रिकॉर्ड देख सकते हैं। यह लॉग आपको अपनी गतिविधि पर नज़र रखने में मदद करता है।","Aici puteți vedea o înregistrare a check-in-urilor și încercărilor de acces recente. Acest jurnal vă ajută să urmăriți activitatea dvs.","ここでは、最近のチェックインとアクセスの試みの記録を見ることができます。このログは、アクティビティを追跡するのに役立ちます。","여기에서는 최근 체크인 및 액세스 시도에 대한 기록을 볼 수 있습니다. 이 로그는 활동을 추적하는 데 도움이됩니다.","Здесь вы можете увидеть записи о ваших недавних проверках и попытках доступа. Этот журнал помогает вам отслеживать вашу деятельность.","Aquí puede ver un registro de sus recientes check-ins e intentos de acceso. Este registro lo ayuda a realizar un seguimiento de su actividad.","在这里，您可以看到您最近的入住和访问尝试的记录。此日志可帮助您跟踪活动。","هنا يمكنك رؤية سجل لشيكات الشيكات الأخيرة ومحاولات الوصول. يساعدك هذا السجل على تتبع نشاطك.","Aqui você pode ver um registro de seus check-ins recentes e tentativas de acesso. Este registro ajuda a acompanhar sua atividade.","Qui puoi vedere un record dei tuoi recenti check-in e tentativi di accesso. Questo registro ti aiuta a tenere traccia della tua attività."
"darkMode","Dark Mode","Mode sombre","डार्क मोड","Mod întunecat","ダークモード","다크 모드","Темный режим","Modo oscuro","黑暗模式","الوضع المظلم","Modo escuro","Modalità oscura"
"invoiceSent","Invoice sent","Facture envoyée","चालान भेजा","Factura trimisă","請求書が送信されます","송장이 보냈습니다","Счет -счет отправлен","Factura enviada","发票发送","أرسلت الفاتورة","Fatura enviada","Fattura inviata"
"subscriptionDowngrade","Subscription downgrade","Rétrogradation de l'abonnement","सदस्यता डाउनग्रेड","Downgrade abonament","サブスクリプションダウングレード","구독 다운 그레이드","Понижение подписки","Rebaja de suscripción","订阅降级","تقليل الاشتراك","Downgrade de assinatura","Downgrade dell'abbonamento"
"subscriptionExpired","Subscription expired","Abonnement expiré","सदस्यता समाप्त हो गई","Abonamentul a expirat","サブスクリプションは期限切れになりました","구독이 만료되었습니다","Срок действия подписки истек","Suscripción expiró","订阅过期","انتهت صلاحية الاشتراك","Assinatura expirou","Abbonamento scaduto"
"subscriptionRenewed","Subscription renewed","Abonnement renouvelé","नवीनीकृत सदस्यता","Abonament reînnoit","サブスクリプションが更新されました","구독 갱신","Подписка обновляется","Suscripción renovada","订阅更新","تجديد الاشتراك","Assinatura renovada","Abbonamento rinnovato"
"subscriptionUpgraded","Subscription upgraded","Abonnement amélioré","अपग्रेड किया गया सदस्यता","Abonamentul modernizat","サブスクリプションがアップグレードされました","구독 업그레이드","Подписка обновляется","Suscripción actualizada","订阅升级","ترقية الاشتراك","Assinatura atualizada","Abbonamento aggiornato"
"enquiryNotification","Enquiry Notification","Notification d'enquête","जांच अधिसूचना","Notificare de anchetă","お問い合わせ通知","문의 알림","Уведомление о запросе","Notificación de consulta","查询通知","إشعار التحقيق","Notificação de inquérito","Notifica di indagine"
"enquiryConfirmation","Enquiry Confirmation","Confirmation de demande","पूछताछ की पुष्टि","Confirmarea anchetei","問い合わせの確認","문의 확인","Подтверждение запроса","Confirmación de consulta","查询确认","تأكيد الاستفسار","Confirmação do inquérito","Conferma dell'indagine"
"enquiryUpdateNotification","Enquiry Update Notification","Notification de mise à jour de la demande","जांच अद्यतन अधिसूचना","Notificare de actualizare a anchetei","お問い合わせ更新通知","문의 업데이트 알림","Уведомление об обновлении запроса","Notificación de actualización de la consulta","查询更新通知","إشعار تحديث التحديث","Notificação de atualização de consulta","Notifica di aggiornamento dell'indagine"
"AdminEnquiryNotification","[Admin] Enquiry Update Notification","[Admin] Notification de mise à jour de la demande","[व्यवस्थापक] पूछताछ अद्यतन अधिसूचना","[Admin] Notificare de actualizare a anchetei","[管理者]お問い合わせ更新通知","[admin] 문의 업데이트 알림","[Администрация] Уведомление об обновлении запроса","[Administrador] Notificación de actualización de la consulta","[管理员]查询更新通知","[المسؤول] إشعار تحديث الاستفسار","[Admin] Notificação de atualização de inquérito","[Amministratore] Notifica di aggiornamento dell'indagine"
"AdminSubscriptionExpired","[Admin] Subscription expired","[Admin] abonnement a expiré","[व्यवस्थापक] सदस्यता समाप्त हो गई","Abonamentul [admin] a expirat","[admin]サブスクリプションの有効期限が切れました","[관리자] 구독이 만료되었습니다","[Администрация] Срок действия подписки с истекшим сроком действия","[Admin] Suscripción expiró","[管理员]订阅过期","[المسؤول] انتهت صلاحية الاشتراك","[Admin] assinatura expirada","[Amministratore] abbonamento scaduto"
"AdminSubscriptionCancel","[Admin] Subscription cancel","[Admin] abonnement annulé","[व्यवस्थापक] सदस्यता रद्द करें","[Admin] abonament Anulare","[管理者]サブスクリプションキャンセル","[admin] 구독 취소","[Admin] Отмена подписки","[Admin] Subscripción Cancelar","[管理员]订阅取消","[المسؤول] إلغاء الاشتراك","[Admin] Cancelar assinatura","[Amministratore] Abbonamento Annulla"
